Ticket_ID,Camera_ID,Store_Location,Store_City,Store_State,Site_Name,Zone,Banner,Region,Market,Manufacturer,Model,Serial_Number,Failure_Reason,Ticket_Created_Date,Priority,Resolution_Date,Replacement_Purchased,Replacement_Cost,Warranty_Status_At_Failure,Days_Until_Warranty_Expiration,Recommended_Action,Potential_Recovery_Value
TKT-000221,CAM56427,10123,Gaithersburg,MD,"Gaithersburg, MD #10123",Sales Floor Aisle 1-10,Supercenter,75,314,Axis,M3116-LVE,AXI261420773,Physical Damage,2026-04-28,Low,2026-05-18,No,0,Active,406,Check RMA Eligibility,-150
TKT-000228,CAM71122,10182,Smithfield,VA,"Smithfield, VA #10182",Sales Floor Aisle 1-10,Supercenter,75,508,Hanwha,PNM-9085RQZ,HAN606887480,Audio Failure,2025-08-08,Medium,2025-08-10,No,0,Active,1208,Check RMA Eligibility,-150
TKT-000235,CAM119755,10377,College Park,MD,"College Park, MD #10377",Sales Floor Aisle 1-10,Supercenter,75,293,Hanwha,PNM-9085RQZ,HAN578472409,Video Artifacts,2024-12-12,Critical,2025-01-01,No,0,Active,417,Check RMA Eligibility,-150
TKT-000241,CAM195003,10678,Roanoke,VA,"Roanoke, VA #10678",Pharmacy,Supercenter,75,314,Bosch,AUTODOME IP 5000i,BOS350221831,IR LEDs Burned Out,2025-09-19,Critical,2025-10-06,No,0,Active,211,Check RMA Eligibility,-150
TKT-000244,CAM166463,10563,Arlington,VA,"Arlington, VA #10563",Jewelry Counter,Supercenter,75,289,Bosch,DINION IP starlight 8000,BOS395681556,Focus Issue,2025-04-19,High,2025-05-07,No,0,Active,135,Check RMA Eligibility,-150
TKT-000245,CAM177161,10606,Yorktown,VA,"Yorktown, VA #10606",Grocery Section,Supercenter,75,291,Bosch,DINION IP 7000 HD,BOS106007237,IR LEDs Burned Out,2024-11-27,Low,2024-12-17,No,0,Active,940,Check RMA Eligibility,-150
TKT-000257,CAM170581,10580,Oxon Hill,MD,"Oxon Hill, MD #10580",Front Entrance,Supercenter,75,290,Hanwha,XND-6081RV,HAN694925614,Network Connectivity Lost,2025-08-25,Low,2025-09-18,No,0,Active,174,Check RMA Eligibility,-150
TKT-000261,CAM209722,10736,Galax,VA,"Galax, VA #10736",Roof Perimeter,Supercenter,75,287,Axis,P3265-LVE,AXI405691893,Moisture Ingress,2025-10-09,Critical,2025-10-21,No,0,Active,851,Check RMA Eligibility,-150
TKT-000268,CAM183922,10633,Blacksburg,VA,"Blacksburg, VA #10633",Customer Service,Supercenter,75,315,Axis,Q6075-E,AXI709080853,Night Vision Failure,2025-01-09,Medium,2025-02-08,No,0,Active,762,Check RMA Eligibility,-150
TKT-000273,CAM41473,10063,Portsmouth,VA,"Portsmouth, VA #10063",Emergency Exit East,Supercenter,75,314,Bosch,DINION IP starlight 8000,BOS417441820,SD Card Failure,2025-06-07,Medium,2025-07-04,Yes,2500,Active,1106,Submit Warranty Claim,2350
TKT-000282,CAM67345,10167,Waldorf,MD,"Waldorf, MD #10167",Restrooms Area,Supercenter,75,290,Bosch,AUTODOME IP 5000i,BOS305573291,Power Failure,2025-01-06,Low,2025-01-31,Yes,2500,Active,375,Submit Warranty Claim,2350
TKT-000287,CAM83496,10231,Charlottesville,VA,"Charlottesville, VA #10231",Roof Perimeter,Supercenter,75,312,Axis,M3067-P,AXI850710403,Focus Issue,2026-04-08,Critical,2026-04-26,No,0,Active,1350,Check RMA Eligibility,-150
TKT-000290,CAM179338,10615,Yorktown,VA,"Yorktown, VA #10615",Loading Dock,Supercenter,75,312,Hanwha,PNM-9085RQZ,HAN252626819,SD Card Failure,2025-01-16,Medium,2025-02-06,No,0,Active,655,Check RMA Eligibility,-150
TKT-000299,CAM197806,10689,Oxon Hill,MD,"Oxon Hill, MD #10689",Grocery Section,Supercenter,75,508,Hanwha,XND-6081RV,HAN912938774,Overheating,2025-05-03,High,2025-05-11,No,0,Active,411,Check RMA Eligibility,-150
TKT-000308,CAM65668,10160,Bristol,VA,"Bristol, VA #10160",Restrooms Area,Supercenter,75,293,Axis,Q6155-E,AXI833355632,Night Vision Failure,2025-05-06,Medium,2025-05-30,No,0,Active,108,Check RMA Eligibility,-150
TKT-000309,CAM37256,10047,Front Royal,VA,"Front Royal, VA #10047",Loading Dock,Supercenter,75,315,Hanwha,QNO-8080R,HAN962157901,Audio Failure,2026-04-29,Low,2026-05-29,No,0,Active,827,Check RMA Eligibility,-150
TKT-000315,CAM1848,1350,LYNCHBURG,VA,"LYNCHBURG, VA #1350",Roof Perimeter,Supercenter,75,315,Hanwha,QNO-8080R,HAN435913717,SD Card Failure,2025-07-08,Low,2025-07-11,No,0,Active,1200,Check RMA Eligibility,-150
TKT-000317,CAM169145,10574,Culpeper,VA,"Culpeper, VA #10574",Emergency Exit East,Supercenter,75,282,Hanwha,PNM-C16083RVQ,HAN159451141,Firmware Corruption,2024-12-27,High,2024-12-30,No,0,Active,997,Check RMA Eligibility,-150
TKT-000320,CAM162484,10547,Yorktown,VA,"Yorktown, VA #10547",Jewelry Counter,Supercenter,75,315,Hanwha,PNV-A9081R,HAN203475402,PTZ Motor Failure,2026-04-12,Critical,2026-04-29,No,0,Active,510,Check RMA Eligibility,-150
TKT-000333,CAM109919,10337,Bedford,VA,"Bedford, VA #10337",Automotive Section,Supercenter,75,289,Axis,M3046-V,AXI897313053,Overheating,2025-04-02,High,2025-04-04,No,0,Active,217,Check RMA Eligibility,-150
TKT-000342,CAM41122,10062,Wytheville,VA,"Wytheville, VA #10062",Garden Center,Supercenter,75,312,Bosch,DINION IP 7000 HD,BOS369572896,Image Quality Degraded,2025-12-21,Low,2025-12-24,No,0,Active,770,Check RMA Eligibility,-150
TKT-000347,CAM64520,10156,Alexandria,VA,"Alexandria, VA #10156",Roof Perimeter,Supercenter,75,291,Axis,P1448-LE,AXI805046782,No Video Signal,2026-04-10,High,2026-04-16,No,0,Active,228,Check RMA Eligibility,-150
TKT-000348,CAM118197,10370,Laurel,MD,"Laurel, MD #10370",Jewelry Counter,Supercenter,75,314,Hanwha,XNF-8010RV,HAN159907505,Physical Damage,2025-08-03,High,2025-08-11,Yes,2500,Expiring Soon,79,Submit Warranty Claim,2350
TKT-000350,CAM150047,10498,Pulaski,VA,"Pulaski, VA #10498",Bakery,Supercenter,75,281,Axis,M3046-V,AXI301304829,Cable Damage,2025-03-15,Medium,2025-03-21,No,0,Expiring Soon,59,Escalate Before Warranty Expires,-150
TKT-000354,CAM73047,10190,Perry Hall,MD,"Perry Hall, MD #10190",Deli,Supercenter,75,314,Axis,P1448-LE,AXI253461430,SD Card Failure,2025-04-11,Low,2025-04-19,No,0,Active,1108,Check RMA Eligibility,-150
TKT-000357,CAM192322,10667,Manassas,VA,"Manassas, VA #10667",Self-Checkout,Supercenter,75,281,Bosch,AUTODOME IP 5000i,BOS467520169,Image Quality Degraded,2025-01-18,Critical,2025-01-25,No,0,Active,914,Check RMA Eligibility,-150
TKT-000359,CAM202380,10707,Ellicott City,MD,"Ellicott City, MD #10707",Emergency Exit East,Supercenter,75,314,Bosch,AUTODOME IP 5000i,BOS497685491,IR LEDs Burned Out,2026-01-26,Critical,2026-02-02,No,0,Active,609,Check RMA Eligibility,-150
TKT-000361,CAM114712,10356,Norfolk,VA,"Norfolk, VA #10356",Rear Entrance,Supercenter,75,290,Axis,Q6155-E,AXI452258021,Image Quality Degraded,2025-06-22,Critical,2025-07-06,Yes,2500,Active,216,Submit Warranty Claim,2350
TKT-000368,CAM14456,2805,EMPORIA,VA,"EMPORIA, VA #2805",Self-Checkout,Supercenter,75,314,Bosch,DINION IP starlight 8000,BOS870234253,Moisture Ingress,2024-11-20,Low,2024-12-16,No,0,Active,804,Check RMA Eligibility,-150
TKT-000371,CAM122466,10387,Fairfax,VA,"Fairfax, VA #10387",Stockroom,Supercenter,75,291,Bosch,MIC IP fusion 9000i,BOS924747038,Audio Failure,2025-06-29,Critical,2025-07-08,Yes,2500,Active,228,Submit Warranty Claim,2350
TKT-000372,CAM200548,10700,Poquoson,VA,"Poquoson, VA #10700",Parking Lot South,Supercenter,75,293,Hanwha,PNM-C16083RVQ,HAN894768750,Audio Failure,2024-11-10,High,2024-11-28,No,0,Active,173,Check RMA Eligibility,-150
TKT-000379,CAM210027,10738,Alexandria,VA,"Alexandria, VA #10738",Front Entrance,Supercenter,75,282,Bosch,AUTODOME IP 5000i,BOS389846891,IR LEDs Burned Out,2025-02-27,Critical,2025-03-15,No,0,Active,502,Check RMA Eligibility,-150
TKT-000384,CAM39507,10056,Ellicott City,MD,"Ellicott City, MD #10056",Self-Checkout,Supercenter,75,508,Axis,P3245-LVE,AXI297911490,PTZ Motor Failure,2025-05-08,Critical,2025-05-20,No,0,Active,700,Check RMA Eligibility,-150
TKT-000394,CAM116000,10361,Christiansburg,VA,"Christiansburg, VA #10361",Emergency Exit East,Supercenter,75,314,Hanwha,PNM-9085RQZ,HAN283742859,IR LEDs Burned Out,2025-09-29,Medium,2025-10-26,No,0,Active,523,Check RMA Eligibility,-150
TKT-000398,CAM30715,10020,Fairfax,VA,"Fairfax, VA #10020",Sales Floor Aisle 1-10,Supercenter,75,288,Bosch,DINION IP starlight 8000,BOS112420841,Cable Damage,2026-04-03,Low,2026-04-21,No,0,Expiring Soon,34,Escalate Before Warranty Expires,-150
TKT-000402,CAM114653,10356,Norfolk,VA,"Norfolk, VA #10356",Grocery Section,Supercenter,75,290,Hanwha,QNO-8080R,HAN930927740,Cable Damage,2026-05-03,High,2026-05-16,No,0,Active,1259,Check RMA Eligibility,-150
TKT-000403,CAM167044,10566,Baltimore,MD,"Baltimore, MD #10566",Office Area,Supercenter,75,288,Axis,Q6075-E,AXI753536171,Night Vision Failure,2025-01-11,Low,2025-01-17,Yes,2500,Active,1006,Submit Warranty Claim,2350
TKT-000404,CAM46523,10084,South Boston,VA,"South Boston, VA #10084",Sales Floor Aisle 1-10,Supercenter,75,287,Hanwha,PNM-C16083RVQ,HAN935145255,Audio Failure,2026-02-14,Critical,2026-02-28,No,0,Active,760,Check RMA Eligibility,-150
TKT-000405,CAM0245,1243,MARTINSVILLE,VA,"MARTINSVILLE, VA #1243",Cash Registers,Supercenter,75,312,Hanwha,XNF-8010RV,HAN676876906,Lens Obstruction,2025-12-29,Medium,2025-12-31,No,0,Active,891,Check RMA Eligibility,-150
TKT-000409,CAM96220,10282,Abingdon,MD,"Abingdon, MD #10282",Front Entrance,Supercenter,75,314,Bosch,AUTODOME IP 5000i,BOS844021774,Video Artifacts,2026-03-01,High,2026-03-27,Yes,2500,Active,646,Submit Warranty Claim,2350
TKT-000413,CAM68872,10173,Covington,VA,"Covington, VA #10173",Office Area,Supercenter,75,508,Bosch,FLEXIDOME IP 5000i,BOS495751530,No Video Signal,2025-03-14,High,2025-03-15,No,0,Active,1043,Check RMA Eligibility,-150
TKT-000415,CAM2973,1486,FARMVILLE,VA,"FARMVILLE, VA #1486",Bakery,Supercenter,75,314,Bosch,MIC IP fusion 9000i,BOS214348500,Network Connectivity Lost,2025-02-03,Medium,2025-02-24,No,0,Active,919,Check RMA Eligibility,-150
TKT-000417,CAM182878,10629,Arlington,VA,"Arlington, VA #10629",Emergency Exit West,Supercenter,75,315,Bosch,DINION IP starlight 8000,BOS535975321,Physical Damage,2025-01-08,Critical,2025-01-11,Yes,2500,Active,1242,Submit Warranty Claim,2350
TKT-000418,CAM36041,10042,Ashland,VA,"Ashland, VA #10042",Sales Floor Aisle 1-10,Supercenter,75,282,Axis,M3046-V,AXI712114075,Mounting Bracket Broken,2025-08-21,Medium,2025-08-29,No,0,Active,208,Check RMA Eligibility,-150
TKT-000423,CAM137211,10446,Wytheville,VA,"Wytheville, VA #10446",Emergency Exit East,Supercenter,75,508,Hanwha,QNO-8080R,HAN482503630,Cable Damage,2025-11-01,Medium,2025-11-05,No,0,Active,1284,Check RMA Eligibility,-150
TKT-000425,CAM30466,10019,Rockville,MD,"Rockville, MD #10019",Office Area,Supercenter,75,281,Bosch,DINION IP starlight 8000,BOS623707034,Audio Failure,2026-01-06,Critical,2026-02-05,No,0,Active,1368,Check RMA Eligibility,-150
TKT-000436,CAM66645,10164,Owings Mills,MD,"Owings Mills, MD #10164",Parking Lot South,Supercenter,75,290,Hanwha,XNV-8080R,HAN977064600,PTZ Motor Failure,2025-09-06,Medium,2025-09-21,No,0,Active,1296,Check RMA Eligibility,-150
TKT-000438,CAM173206,10590,Lexington,VA,"Lexington, VA #10590",Deli,Supercenter,75,289,Bosch,MIC IP fusion 9000i,BOS755158213,Video Artifacts,2024-11-18,Critical,2024-12-08,Yes,2500,Active,1209,Submit Warranty Claim,2350
TKT-000443,CAM60292,10139,Glen Burnie,MD,"Glen Burnie, MD #10139",Loading Dock,Supercenter,75,281,Hanwha,PNM-C16083RVQ,HAN743850283,Image Quality Degraded,2025-11-28,Medium,2025-12-28,No,0,Active,651,Check RMA Eligibility,-150
TKT-000444,CAM135896,10441,Odenton,MD,"Odenton, MD #10441",Cash Registers,Supercenter,75,288,Axis,M3116-LVE,AXI306205496,Lens Obstruction,2025-11-05,High,2025-11-11,Yes,2500,Active,127,Submit Warranty Claim,2350
TKT-000450,CAM5728,1759,GLOUCESTER,VA,"GLOUCESTER, VA #1759",Garden Center,Supercenter,75,288,Bosch,AUTODOME IP 5000i,BOS591909662,Physical Damage,2025-03-18,Low,2025-04-05,No,0,Active,544,Check RMA Eligibility,-150
TKT-000454,CAM103291,10311,Martinsville,VA,"Martinsville, VA #10311",Office Area,Supercenter,75,289,Axis,Q6155-E,AXI816006389,Overheating,2025-07-21,Medium,2025-08-08,Yes,2500,Active,1296,Submit Warranty Claim,2350
TKT-000455,CAM203845,10713,Fairfax,VA,"Fairfax, VA #10713",Bakery,Supercenter,75,288,Axis,P3245-LVE,AXI536481006,Firmware Corruption,2024-12-04,Medium,2024-12-09,No,0,Active,396,Check RMA Eligibility,-150
TKT-000461,CAM62307,10147,Williamsburg,VA,"Williamsburg, VA #10147",Parking Lot North,Supercenter,75,508,Hanwha,QNO-8080R,HAN723527616,Cable Damage,2025-07-13,Critical,2025-08-09,Yes,2500,Active,951,Submit Warranty Claim,2350
TKT-000471,CAM84851,10237,Danville,VA,"Danville, VA #10237",Cash Registers,Supercenter,75,291,Hanwha,XNF-8010RV,HAN246920559,Night Vision Failure,2024-12-12,High,2024-12-26,No,0,Active,1137,Check RMA Eligibility,-150
TKT-000475,CAM78154,10210,Virginia Beach,VA,"Virginia Beach, VA #10210",Sales Floor Aisle 11-20,Supercenter,75,282,Bosch,DINION IP 7000 HD,BOS588168455,No Video Signal,2026-04-03,Medium,2026-04-21,No,0,Active,1233,Check RMA Eligibility,-150
TKT-000476,CAM164156,10554,Front Royal,VA,"Front Royal, VA #10554",Sales Floor Aisle 11-20,Supercenter,75,508,Bosch,FLEXIDOME IP 3000i,BOS587508714,Video Artifacts,2026-01-10,High,2026-01-23,No,0,Active,879,Check RMA Eligibility,-150
TKT-000477,CAM179200,10614,Portsmouth,VA,"Portsmouth, VA #10614",Roof Perimeter,Supercenter,75,508,Axis,M3116-LVE,AXI932969236,Night Vision Failure,2024-12-16,High,2025-01-07,Yes,2500,Active,271,Submit Warranty Claim,2350
TKT-000478,CAM132947,10429,Severna Park,MD,"Severna Park, MD #10429",Customer Service,Supercenter,75,312,Axis,M3116-LVE,AXI789959892,Network Connectivity Lost,2025-02-05,Low,2025-02-23,Yes,2500,Active,582,Submit Warranty Claim,2350
TKT-000479,CAM27405,10007,Hampton,VA,"Hampton, VA #10007",Receiving Area,Supercenter,75,314,Hanwha,PNM-9085RQZ,HAN660247607,PTZ Motor Failure,2025-08-05,Critical,2025-08-13,No,0,Active,1299,Check RMA Eligibility,-150
